sci_data_set_name,sci_targname,sci_ra,sci_dec,sci_refnum,sci_start_time,sci_stop_time,sci_actual_duration,sci_instrume,sci_aper_1234,sci_spec_1234,sci_central_wavelength,sci_pep_id,sci_pi_last_name,sci_release_date,sci_preview_name
OC1Z01LOQ,JUPITER-NORTH-1,107.261083548,22.62121054913,10,2014-01-01T03:02:53.937000,2014-01-01T03:14:33.937000,700.199875,STIS  ,F25SRF2,MIRFUV,1453.1526,13035,BADMAN,2015-01-02T20:11:15,
OC1Z01LUQ,JUPITER-NORTH-1,107.258118549,22.62158500695,10,2014-01-01T03:32:45.937000,2014-01-01T03:45:01.937000,736.19975,STIS  ,F25SRF2,MIRFUV,1453.1526,13035,BADMAN,2015-01-02T20:13:05,
OC1Z02TWQ,JUPITER-NORTH-2,107.0786979429,22.6441253205,10,2014-01-02T09:19:53.937000,2014-01-02T09:31:33.937000,700.19975,STIS  ,F25SRF2,MIRFUV,1453.1523,13035,BADMAN,2015-01-02T17:32:04,
OC1Z02U2Q,JUPITER-NORTH-2,107.0757208096,22.6444973623,10,2014-01-02T09:49:45.937000,2014-01-02T10:02:01.937000,736.2,STIS  ,F25SRF2,MIRFUV,1453.1523,13035,BADMAN,2015-01-02T17:38:04,
OC1Z03Y3Q,JUPITER-NORTH-3,106.9631656631,22.65851623077,10,2014-01-03T04:27:26.960000,2014-01-03T04:39:06.960000,700.199625,STIS  ,F25SRF2,MIRFUV,1453.1523,13035,BADMAN,2015-01-03T19:07:43,
OC1Z03YBQ,JUPITER-NORTH-3,106.9601828921,22.65888650203,10,2014-01-03T04:57:18.960000,2014-01-03T05:09:34.960000,736.199875,STIS  ,F25SRF2,MIRFUV,1453.1523,13035,BADMAN,2015-01-03T19:29:50,
OC1Z04B4Q,JUPITER-NORTH-4,106.8377949383,22.674024318,10,2014-01-04T01:10:40.943000,2014-01-04T01:22:10.943000,690.19975,STIS  ,F25SRF2,MIRFUV,1453.1522,13035,BADMAN,2015-01-04T05:41:07,
OC1Z04BBQ,JUPITER-NORTH-4,106.8348243823,22.67439040988,10,2014-01-04T01:40:22.960000,2014-01-04T01:51:52.960000,690.199875,STIS  ,F25SRF2,MIRFUV,1453.1522,13035,BADMAN,2015-01-04T05:46:48,
OC1Z05HAQ,JUPITER-NORTH-5,106.66397131,22.69534157725,10,2014-01-05T05:52:00.943000,2014-01-05T06:03:40.943000,700.199875,STIS  ,F25SRF2,MIRFUV,1453.1521,13035,BADMAN,2015-01-05T10:08:17,
OC1Z05HGQ,JUPITER-NORTH-5,106.6609809802,22.69570643524,10,2014-01-05T06:21:52.943000,2014-01-05T06:34:08.943000,736.19975,STIS  ,F25SRF2,MIRFUV,1453.1521,13035,BADMAN,2015-01-05T10:13:38,
